ID,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Name_hash
114628,M,28.0,172.0,68.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,5dea07d8921791a6a05c1536927b984d55105da9bf1862a8ab2f4c1cd75e2679
114645,F,21.0,178.0,65.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Individual",,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114645,F,21.0,178.0,65.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Bronze,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114645,F,29.0,178.0,65.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Individual",,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114645,F,29.0,178.0,65.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",Bronze,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114645,F,33.0,178.0,65.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Individual",,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114645,F,33.0,178.0,65.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",,bbcab0e92a25b466843996ce9f3736133671739f5a8e3d74b9963d3c976bf54d
114683,M,21.0,151.0,59.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Bantamweight,,715f8dccd4d9de238f88af28768c8ea4507c33f310737a081365239605347963
114683,M,25.0,151.0,59.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,,715f8dccd4d9de238f88af28768c8ea4507c33f310737a081365239605347963
114743,M,21.0,178.0,72.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,4631ba76914c3f789169c64a6a65620add415d0c6562a1131f3dc503554d53ac
114800,M,,,,Hungary,HUN,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",,077918a5ea5af6d0d3585d6f04cd7a0550c5d177aa9b371270af1fcae82dd06b
114845,M,24.0,198.0,104.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold,01d39c843a14f080b0b70d5548156afe3d50f352427a8a86072bd542f1de09b0
114845,M,31.0,198.0,104.0,Hungary,HUN,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,,01d39c843a14f080b0b70d5548156afe3d50f352427a8a86072bd542f1de09b0
